,Time,HP,Power up,Player x,Player y,Player speed_x,Player speed_y,Player bullet x,Player bullet y,Player bullet speed_x,Player bullet speed_y,Enemy x,Enemy y,Enemy speed_x,Enemy speed_y,Enemy bullet x,Enemy bullet y,Enemy bullet speed_x,Enemy bullet speed_y
26,17.82,10,False,330,471,3,-9,[352],[602],[-1],[5],"[1076, 1301, 300, 898, 349]","[1076, 1301, 300, 898, 349]","[-447, -43, 83, -233, -195]","[19, -73, -9, -69, -67]","[974, 1471, 1430, 1198, 1378, 712, 1222, 1402, 608, 987, 989, 958, 744, 898, 871, 1199, 1085, 254, 924, 652]","[615, 231, 429, 504, 410, 55, 597, 446, 27, 55, 457, 330, 301, 330, 307, 594, 721, 484, 635, 536]","[-5, 4, 5, 5, -4, -4, 5, 3, -3, -2, -5, 0, 3, -3, 0, -5, -5, -2, -4, 1]","[-1, -3, -2, -1, -4, -4, -2, -4, -4, -5, -2, -5, -4, -5, -5, -2, -2, -5, -4, -5]"
27,18.16,10,False,427,316,6,-7,[],[],[],[],"[876, 1248, 338, 783, 452]","[876, 1248, 338, 783, 452]","[-499, -157, 163, -259, 40]","[19, -73, -9, -69, 0]","[874, 1530, 1298, 1296, 1321, 1450, 889, 958, 804, 838, 871, 1099, 985, 214, 844, 672, 951, 1275, 364, 841, 467]","[595, 389, 484, 346, 549, 354, 417, 230, 221, 230, 207, 554, 681, 384, 555, 436, 666, 711, 626, 703, 730]","[-5, 5, 5, -5, 4, 1, -5, 0, 3, -3, 0, -5, -5, -2, -4, 1, -5, -5, 0, -4, -2]","[-1, -2, -1, -3, -3, -5, -2, -5, -4, -5, -5, -2, -2, -5, -4, -5, -2, -3, -5, -3, -5]"
28,18.5,10,False,477,296,9,0,[],[],[],[],"[676, 1158, 412, 672, 476]","[676, 1158, 412, 672, 476]","[-491, -235, 253, -242, 117]","[39, -53, 31, -49, 0]","[774, 1398, 1196, 1401, 1452, 789, 941, 864, 778, 871, 999, 885, 177, 764, 692, 851, 1175, 364, 761, 427]","[564, 444, 302, 486, 254, 377, 130, 141, 147, 107, 514, 641, 284, 475, 336, 626, 651, 526, 643, 630]","[-5, 5, -5, 4, -1, -5, -1, 3, -3, 0, -5, -5, -1, -4, 1, -5, -5, 0, -4, -2]","[-2, -2, -2, -4, -5, -2, -5, -4, -4, -5, -2, -2, -5, -4, -5, -2, -3, -5, -3, -5]"
29,18.83,10,False,584,330,9,3,[],[],[],[],"[479, 1043, 521, 572, 526]","[479, 1043, 521, 572, 526]","[-443, -291, 325, -203, 177]","[59, -26, 65, -22, 0]","[674, 1498, 1096, 1467, 1406, 689, 921, 924, 718, 857, 899, 785, 157, 684, 712, 751, 1075, 364, 681, 387]","[524, 404, 262, 406, 161, 337, 30, 42, 67, 7, 474, 601, 184, 395, 236, 586, 591, 426, 583, 530]","[-5, 5, -5, 3, -3, -5, -1, 3, -3, -1, -5, -5, -1, -4, 1, -5, -5, 0, -4, -2]","[-2, -2, -2, -4, -4, -2, -5, -5, -4, -5, -2, -2, -5, -4, -5, -2, -3, -5, -3, -5]"
30,19.17,8,False,741,286,8,-4,[],[],[],[],"[308, 907, 653, 494, 599]","[308, 907, 653, 494, 599]","[-358, -323, 373, -144, 230]","[79, 14, 85, 18, 0]","[574, 996, 1507, 1328, 799, 685, 146, 732, 651, 975, 364, 601, 347, 489, 997, 607, 548, 624]","[484, 240, 306, 94, 434, 561, 84, 136, 546, 531, 326, 512, 430, 601, 592, 568, 573, 700]","[-5, -5, 1, -4, -5, -5, 0, 1, -5, -5, 0, -4, -2, -1, -4, 2, -3, 3]","[-2, -1, -5, -3, -2, -2, -5, -5, -2, -3, -5, -4, -5, -5, -3, -5, -4, -4]"
31,19.5,8,False,896,315,8,5,[],[],[],[],"[179, 767, 793, 441, 690]","[179, 767, 793, 441, 690]","[-244, -329, 393, -73, 266]","[99, 54, 105, 58, 0]","[475, 896, 1516, 1228, 699, 585, 752, 551, 875, 364, 521, 307, 489, 917, 647, 488, 684]","[435, 220, 206, 50, 394, 516, 36, 506, 471, 226, 432, 330, 501, 532, 468, 493, 620]","[-4, -5, 0, -5, -5, -5, 1, -5, -5, 0, -4, -2, 0, -4, 2, -3, 3]","[-3, -1, -5, -2, -2, -3, -5, -2, -3, -5, -4, -5, -5, -3, -5, -4, -4]"
32,19.85,8,False,1072,373,9,3,[],[],[],[],"[98, 627, 933, 416, 790]","[98, 627, 933, 416, 790]","[-127, -324, 364, -13, 262]","[89, 71, 105, 71, -20]","[395, 796, 1511, 1128, 599, 485, 451, 778, 384, 452, 271, 489, 837, 687, 430, 744, 226, 780, 953, 524, 786]","[374, 200, 106, 24, 354, 456, 466, 411, 126, 352, 230, 401, 472, 368, 400, 540, 750, 630, 698, 668, 735]","[-4, -5, -1, -5, -5, -5, -5, -4, 1, -3, -1, 0, -4, 2, -2, 3, 5, 5, 4, 5, 0]","[-4, -1, -5, -1, -2, -3, -2, -3, -5, -4, -5, -5, -3, -5, -5, -4, -2, -3, -4, 0, -5]"
33,20.22,8,False,1217,483,5,8,[],[],[],[],"[59, 487, 1054, 410, 876]","[59, 487, 1054, 410, 876]","[-20, -313, 290, 27, 221]","[49, 51, 69, 51, -55]","[333, 696, 1480, 1028, 499, 385, 351, 698, 425, 392, 251, 492, 757, 727, 390, 804, 326, 880, 1033, 624, 800]","[289, 181, 6, 17, 314, 396, 426, 351, 26, 270, 130, 301, 401, 268, 300, 460, 710, 578, 618, 668, 635]","[-2, -5, -2, -5, -5, -5, -5, -4, 3, -3, -1, 1, -4, 2, -2, 3, 5, 5, 4, 5, 1]","[-5, 0, -5, 0, -2, -3, -2, -3, -5, -5, -5, -5, -4, -5, -5, -4, -2, -2, -4, 0, -5]"
34,20.57,8,False,1229,576,0,9,[],[],[],[],"[66, 360, 1140, 419, 943]","[66, 360, 1140, 419, 943]","[100, -275, 193, 67, 161]","[9, 31, 29, 31, -75]","[331, 596, 928, 399, 285, 251, 618, 346, 233, 516, 677, 774, 366, 872, 426, 980, 1113, 724, 820]","[189, 181, 23, 274, 336, 386, 291, 170, 30, 201, 321, 168, 200, 380, 670, 538, 538, 668, 535]","[2, -5, -5, -5, -5, -5, -4, -2, 0, 2, -4, 3, -1, 4, 5, 5, 4, 5, 1]","[-5, 0, 1, -2, -3, -2, -3, -5, -5, -5, -4, -5, -5, -4, -2, -2, -4, 0, -5]"
35,20.95,8,False,1234,576,0,0,[1264],[711],[0],[5],"[118, 252, 1185, 443, 984]","[118, 252, 1185, 443, 984]","[202, -212, 84, 107, 93]","[-31, 11, -11, 11, -95]","[415, 496, 834, 299, 205, 151, 538, 322, 562, 597, 834, 364, 952, 526, 1080, 1193, 824, 854, 203, 489, 1178, 555, 1054]","[135, 190, 68, 214, 276, 326, 231, 70, 103, 241, 82, 100, 300, 630, 498, 458, 668, 435, 789, 660, 681, 684, 796]","[5, -5, -4, -5, -4, -5, -4, 0, 3, -4, 3, 0, 4, 5, 5, 4, 5, 2, 5, 5, 0, 5, 3]","[-1, 2, 3, -3, -3, -3, -3, -5, -4, -4, -4, -5, -4, -2, -2, -4, 0, -5, 0, -1, -5, 0, 4]"
