,Time,HP,Power up,Player x,Player y,Player speed_x,Player speed_y,Player bullet x,Player bullet y,Player bullet speed_x,Player bullet speed_y,Enemy x,Enemy y,Enemy speed_x,Enemy speed_y,Enemy bullet x,Enemy bullet y,Enemy bullet speed_x,Enemy bullet speed_y
23,16.62,9,False,1085,459,0,9,[],[],[],[],"[577, 877, 727, 439, 1113]","[577, 877, 727, 439, 1113]","[437, 132, -434, -391, 356]","[83, 15, 107, 25, 18]","[558, 287, 488, 795, 781, 795, 573, 477, 578, 937, 764, 520, 511, 947, 1022, 732, 1044]","[60, 398, 381, 240, 495, 478, 110, 347, 330, 477, 480, 327, 584, 637, 588, 615, 661]","[-5, -5, -5, 4, -5, -5, 3, 4, -1, -5, -4, 1, 4, 3, 0, 0, 4]","[2, -2, -2, -3, -1, -2, -4, -3, -5, -2, -3, -5, -3, -4, -5, -5, -4]"
24,16.96,9,False,1048,508,3,-9,[1052],[623],[-3],[4],"[737, 907, 547, 283, 1224]","[737, 907, 547, 283, 1224]","[429, 72, -439, -340, 246]","[63, -16, 67, -15, -22]","[458, 187, 388, 875, 681, 695, 633, 557, 558, 837, 684, 540, 591, 1019, 1022, 732, 1124]","[102, 358, 341, 180, 475, 438, 30, 287, 230, 437, 420, 227, 524, 557, 488, 515, 581]","[-5, -5, -5, 4, -5, -5, 3, 4, -1, -5, -4, 1, 4, 4, 0, 0, 4]","[3, -2, -2, -3, -1, -2, -4, -3, -5, -2, -3, -5, -3, -4, -5, -5, -4]"
25,17.3,9,False,1077,355,0,-9,[980],[703],[-4],[4],"[893, 914, 367, 153, 1286]","[893, 914, 367, 153, 1286]","[390, 12, -408, -261, 119]","[43, -36, 27, -49, -61]","[376, 87, 288, 964, 581, 595, 638, 545, 737, 604, 560, 671, 1094, 1029, 732, 1204, 884, 957, 647, 416, 1170]","[166, 318, 301, 120, 455, 398, 227, 130, 397, 360, 127, 464, 477, 388, 415, 501, 672, 659, 735, 773, 765]","[-4, -5, -5, 5, -5, -5, 5, 0, -5, -4, 1, 4, 3, 1, 0, 4, 5, 0, 4, 5, -5]","[4, -2, -2, -3, -1, -2, -3, -5, -2, -3, -5, -3, -4, -5, -5, -4, -3, -5, -4, 0, -1]"
26,17.68,8,False,923,263,-9,-3,[],[],[],[],"[1025, 208, 59, 1294]","[1025, 208, 59, 1294]","[321, -341, -159, -21]","[23, -13, -69, -81]","[312, 188, 1064, 481, 495, 738, 545, 637, 524, 597, 751, 1154, 732, 1266, 984, 957, 727, 516, 1070]","[249, 261, 60, 419, 358, 167, 30, 357, 300, 27, 404, 397, 315, 421, 612, 559, 655, 773, 725]","[-3, -5, 5, -5, -5, 5, 0, -5, -4, 2, 4, 3, 0, 3, 5, 0, 4, 5, -5]","[5, -2, -3, -2, -2, -3, -5, -2, -3, -5, -3, -4, -5, -4, -3, -5, -4, 0, -2]"
27,18.02,8,False,893,357,0,9,[],[],[],[],"[1129, 83, 13, 1249, 1007]","[1129, 83, 13, 1249, 1007]","[249, -227, -19, -135, -20]","[23, -33, -69, -81, 0]","[278, 88, 1164, 381, 395, 838, 537, 444, 831, 1214, 732, 1326, 1071, 957, 796, 616, 970, 1110, 223, 116, 1295, 1021]","[349, 219, 16, 379, 318, 107, 317, 240, 344, 317, 215, 341, 552, 459, 575, 773, 685, 690, 785, 672, 665, 789]","[-1, -5, 5, -5, -5, 5, -5, -4, 4, 3, 0, 3, 4, 0, 3, 5, -5, -1, 5, 4, -3, -3]","[5, -3, -2, -2, -2, -3, -2, -3, -3, -4, -5, -4, -3, -5, -4, 0, -2, -5, -2, -3, -4, -4]"
28,18.4,8,False,746,388,-9,-3,[],[],[],[],"[1203, 15, 29, 1168, 982]","[1203, 15, 29, 1168, 982]","[179, -70, 141, -215, -60]","[43, -33, -37, -50, 0]","[274, 281, 295, 938, 437, 364, 911, 1274, 732, 1381, 1151, 957, 856, 716, 870, 1090, 323, 196, 1235, 961]","[449, 339, 278, 60, 277, 180, 284, 237, 115, 245, 492, 359, 495, 773, 639, 590, 745, 612, 585, 709]","[0, -5, -5, 5, -5, -4, 4, 3, 0, 2, 4, 0, 3, 5, -5, -1, 5, 4, -3, -3]","[5, -2, -2, -2, -2, -3, -3, -4, -5, -5, -3, -5, -4, 0, -3, -5, -2, -3, -4, -4]"
29,18.76,8,False,572,404,-8,4,[],[],[],[],"[1249, 11, 108, 1059, 942]","[1249, 11, 108, 1059, 942]","[99, 90, 293, -274, -87]","[63, -29, 3, -10, 0]","[289, 181, 195, 1038, 337, 284, 991, 1323, 732, 1418, 1231, 957, 916, 816, 770, 1054, 423, 294, 1175, 901]","[549, 299, 238, 20, 237, 120, 224, 138, 15, 145, 432, 259, 415, 773, 579, 490, 705, 552, 505, 629]","[1, -5, -5, 5, -5, -4, 4, 2, 0, 1, 4, 0, 3, 5, -5, -2, 5, 5, -3, -3]","[5, -2, -2, -2, -2, -3, -3, -5, -5, -5, -3, -5, -4, 0, -3, -5, -2, -3, -4, -4]"
30,19.11,8,False,461,469,0,0,[493],[508],[-3],[4],"[1261, 71, 244, 932, 895]","[1261, 71, 244, 932, 895]","[19, 250, 423, -309, -107]","[65, -9, 43, 30, 0]","[329, 81, 95, 237, 204, 1071, 1353, 1427, 1311, 957, 976, 916, 670, 1014, 523, 394, 1115, 841, 1219, 131, 249, 993, 932]","[649, 259, 198, 197, 60, 164, 38, 45, 361, 159, 335, 773, 519, 390, 665, 492, 425, 549, 709, 684, 599, 598, 729]","[2, -5, -5, -5, -4, 4, 1, 0, 4, 0, 3, 5, -5, -2, 5, 5, -3, -3, -4, 4, 5, -5, -3]","[5, -2, -2, -2, -3, -3, -5, -5, -4, -5, -4, 0, -3, -5, -2, -3, -4, -4, -3, -4, -1, -1, -5]"
31,19.44,8,False,536,375,5,-8,[433],[588],[-3],[4],"[1242, 190, 426, 792, 835]","[1242, 190, 426, 792, 835]","[-61, 387, 522, -319, -116]","[65, 11, 83, 70, 0]","[387, 137, 1151, 1382, 957, 1036, 1016, 570, 972, 623, 494, 1040, 781, 1139, 211, 349, 893, 872]","[736, 157, 104, 281, 59, 255, 762, 459, 290, 625, 432, 345, 469, 649, 604, 579, 578, 629]","[3, -5, 4, 3, 0, 3, 5, -5, -3, 5, 5, -4, -3, -4, 4, 5, -5, -3]","[4, -2, -3, -4, -5, -4, -1, -3, -5, -2, -3, -4, -4, -3, -4, -1, -1, -5]"
32,19.84,8,False,579,217,-5,-8,[],[],[],[],"[1189, 639, 652, 775]","[1189, 639, 652, 775]","[-161, 561, -321, -136]","[45, 97, 90, -20]","[467, 37, 1231, 1441, 1096, 1116, 471, 912, 723, 594, 960, 721, 1059, 291, 449, 793, 812, 1212, 322, 571, 745, 836]","[802, 117, 44, 194, 175, 742, 399, 193, 585, 372, 265, 389, 589, 524, 559, 558, 529, 794, 673, 606, 588, 787]","[5, -5, 4, 2, 3, 5, -4, -3, 5, 5, -4, -3, -4, 4, 5, -5, -3, -5, 1, -1, -1, -1]","[2, -2, -3, -5, -4, -1, -3, -4, -2, -3, -4, -4, -3, -4, -1, -1, -5, -2, -5, -5, -5, -5]"
33,20.26,8,False,464,181,0,0,[],[],[],[],"[1091, 852, 512, 706]","[1091, 852, 512, 706]","[-267, 536, -313, -159]","[5, 77, 84, -60]","[567, 1476, 1156, 1216, 391, 852, 823, 687, 880, 661, 979, 371, 549, 693, 752, 1112, 342, 551, 725, 816]","[818, 94, 88, 720, 339, 113, 532, 312, 185, 309, 529, 444, 524, 538, 429, 754, 573, 506, 488, 687]","[5, 1, 3, 5, -4, -3, 5, 4, -4, -3, -4, 4, 5, -5, -3, -5, 1, -1, -1, -1]","[0, -5, -5, -2, -3, -4, -3, -3, -4, -4, -3, -4, -2, -1, -5, -2, -5, -5, -5, -5]"
34,20.7,8,False,438,222,-9,1,[],[],[],[],"[958, 1044, 383, 626]","[958, 1044, 383, 626]","[-350, 470, -280, -169]","[-35, 57, 64, -92]","[662, 1316, 311, 792, 914, 767, 800, 590, 899, 451, 649, 593, 692, 1012, 362, 531, 705, 796]","[783, 680, 279, 33, 472, 252, 120, 229, 469, 364, 484, 518, 329, 714, 473, 406, 388, 587]","[4, 5, -4, -3, 4, 4, -4, -4, -4, 4, 5, -5, -3, -5, 1, -1, -1, -1]","[-3, -2, -3, -4, -3, -3, -3, -4, -3, -4, -2, -1, -5, -2, -5, -5, -5, -5]"
35,21.11,8,False,259,283,-8,4,[],[],[],[],"[797, 1202, 273, 546, 1295]","[797, 1202, 273, 546, 1295]","[-402, 369, -223, -164, -140]","[-75, 37, 44, -112, -20]","[720, 1412, 231, 994, 847, 720, 510, 819, 531, 749, 493, 632, 912, 382, 511, 670, 773, 949, 1012, 417, 609, 1282]","[697, 629, 219, 412, 192, 60, 149, 409, 284, 444, 498, 234, 674, 373, 306, 288, 487, 696, 650, 588, 668, 707]","[2, 4, -4, 4, 4, -4, -4, -4, 4, 5, -5, -3, -5, 1, -1, -2, -2, -2, -4, 0, -3, -5]","[-5, -3, -3, -3, -3, -3, -4, -3, -4, -2, -1, -4, -2, -5, -5, -5, -5, -5, -3, -5, -4, -2]"
36,21.49,8,False,197,437,1,9,[],[],[],[],"[617, 1314, 190, 473, 1201]","[617, 1314, 190, 473, 1201]","[-421, 240, -144, -144, -267]","[-98, 17, 24, -123, -40]","[730, 1492, 151, 1074, 927, 430, 739, 593, 849, 393, 572, 812, 402, 491, 630, 733, 909, 932, 417, 549, 1182]","[597, 561, 159, 352, 132, 69, 349, 204, 390, 478, 154, 634, 273, 206, 188, 387, 596, 590, 488, 588, 667]","[0, 4, -4, 4, 4, -4, -4, 3, 5, -5, -3, -5, 1, -1, -2, -2, -2, -4, 0, -3, -5]","[-5, -4, -3, -3, -3, -4, -3, -4, -3, -1, -4, -2, -5, -5, -5, -5, -5, -3, -5, -4, -2]"
37,21.87,8,False,197,473,0,0,[232],[589],[0],[5],"[442, 1373, 143, 417, 1065]","[442, 1373, 143, 417, 1065]","[-384, 118, -32, -86, -353]","[-98, 17, 24, -103, -40]","[712, 66, 1154, 1007, 659, 653, 929, 293, 512, 712, 422, 471, 584, 693, 869, 852, 417, 489, 1082, 512, 1337, 143, 449, 1129]","[497, 99, 272, 72, 289, 124, 330, 458, 74, 594, 173, 106, 88, 287, 496, 530, 388, 508, 627, 678, 712, 676, 655, 658]","[-2, -5, 4, 4, -4, 3, 4, -5, -3, -5, 1, -1, -3, -2, -2, -4, 0, -3, -5, -5, -5, -5, -4, -4]","[-5, -3, -4, -3, -3, -4, -3, -1, -4, -2, -5, -5, -5, -5, -5, -3, -5, -4, -2, -2, 0, -2, 3, -3]"
38,22.26,8,False,198,482,0,0,[232],[689],[0],[5],"[296, 1386, 150, 389, 905]","[296, 1386, 150, 389, 905]","[-294, -2, 108, -6, -386]","[-63, 37, 44, -63, -19]","[659, 1220, 1087, 564, 713, 1009, 193, 612, 442, 438, 524, 653, 829, 772, 417, 427, 982, 412, 1237, 49, 369, 1030]","[407, 192, 12, 229, 44, 264, 438, 554, 73, 6, 4, 187, 396, 470, 288, 428, 587, 638, 712, 619, 715, 598]","[-3, 3, 4, -5, 3, 4, -5, -5, 1, -2, -3, -2, -2, -4, 0, -4, -5, -5, -5, -4, -4, -5]","[-4, -4, -3, -3, -4, -4, -1, -2, -5, -5, -4, -5, -5, -3, -5, -4, -2, -2, 0, -3, 3, -3]"
39,22.59,8,False,261,491,0,0,[232],[789],[0],[5],"[192, 1351, 212, 395, 745]","[192, 1351, 212, 395, 745]","[-179, -115, 236, 74, -389]","[-23, 57, 64, -23, 21]","[582, 1277, 464, 1075, 93, 512, 601, 770, 683, 417, 347, 882, 312, 1137, 274, 930]","[337, 102, 169, 184, 418, 514, 87, 296, 410, 188, 348, 547, 598, 712, 775, 538]","[-4, 2, -5, 3, -5, -5, -3, -3, -5, 0, -4, -5, -5, -5, -5, -5]","[-3, -5, -3, -4, -1, -2, -5, -5, -3, -5, -4, -2, -2, 0, 3, -3]"
